continent,country,country_name,name,lat,lng,population,capital
EU,AD,Andorra,les Escaldes,42.50729,1.53414,15853,Andorra la Vella
EU,AD,Andorra,Andorra la Vella,42.50779,1.52109,20430,Andorra la Vella
AS,AE,United Arab Emirates,Warīsān,25.16744,55.40708,108759,Abu Dhabi
AS,AE,United Arab Emirates,Umm Suqaym,25.15491,55.21015,16459,Abu Dhabi
AS,AE,United Arab Emirates,Umm Al Quwain City,25.56473,55.55517,59098,Abu Dhabi
AS,AE,United Arab Emirates,Ţarīf Kalbā,25.0695,56.33115,51000,Abu Dhabi
AS,AE,United Arab Emirates,Ar Rāshidīyah,25.22499,55.38947,38425,Abu Dhabi
AS,AE,United Arab Emirates,Ras Al Khaimah City,25.78953,55.9432,351943,Abu Dhabi
AS,AE,United Arab Emirates,Zayed City,23.65416,53.70522,63482,Abu Dhabi
AS,AE,United Arab Emirates,Khawr Fakkān,25.33132,56.34199,40677,Abu Dhabi
AS,AE,United Arab Emirates,Kalbā,25.0513,56.35422,37545,Abu Dhabi
AS,AE,United Arab Emirates,Jumayrā,25.20795,55.24969,39080,Abu Dhabi
AS,AE,United Arab Emirates,Dubai,25.07725,55.30927,3790000,Abu Dhabi
AS,AE,United Arab Emirates,Dibba Al-Fujairah,25.59246,56.26176,30000,Abu Dhabi
AS,AE,United Arab Emirates,Dibba Al-Hisn,25.61955,56.27291,26395,Abu Dhabi
AS,AE,United Arab Emirates,Dayrah,25.27143,55.30207,400000,Abu Dhabi
AS,AE,United Arab Emirates,Sharjah,25.3342,55.41221,1800000,Abu Dhabi
AS,AE,United Arab Emirates,Ar Ruways,24.11028,52.73056,25000,Abu Dhabi
AS,AE,United Arab Emirates,Ḩattā,24.80073,56.12726,15324,Abu Dhabi
AS,AE,United Arab Emirates,Al Fujairah City,25.11641,56.34141,118933,Abu Dhabi
AS,AE,United Arab Emirates,Al Ain City,24.19167,55.76056,846747,Abu Dhabi
AS,AE,United Arab Emirates,Ajman City,25.40177,55.47878,490035,Abu Dhabi
AS,AE,United Arab Emirates,Adh Dhayd,25.28812,55.88157,20165,Abu Dhabi
AS,AE,United Arab Emirates,Abu Dhabi,24.45118,54.39696,1807000,Abu Dhabi
AS,AE,United Arab Emirates,Abū Hayl,25.28413,55.33153,18043,Abu Dhabi
AS,AE,United Arab Emirates,As Saţwah,25.22192,55.27459,40997,Abu Dhabi
AS,AE,United Arab Emirates,Al Ḩamīdīyah,25.40001,55.52925,27000,Abu Dhabi
AS,AE,United Arab Emirates,Al Waheda,25.29173,55.33822,21608,Abu Dhabi
AS,AE,United Arab Emirates,Al Karama,25.24004,55.30106,75560,Abu Dhabi
AS,AE,United Arab Emirates,The Palm Jumeirah,25.11607,55.13506,25500,Abu Dhabi
AS,AE,United Arab Emirates,Bur Dubai,25.26038,55.29891,18698,Abu Dhabi
AS,AE,United Arab Emirates,Khalifah A City,24.42588,54.605,85374,Abu Dhabi
AS,AE,United Arab Emirates,Mirdif,25.22443,55.41412,60288,Abu Dhabi
AS,AE,United Arab Emirates,Hawr al ‘Anz,25.27744,55.33675,84661,Abu Dhabi
AS,AE,United Arab Emirates,Mankhūl,25.24612,55.29222,41244,Abu Dhabi
AS,AE,United Arab Emirates,Nāyf,25.27139,55.30323,53075,Abu Dhabi
AS,AE,United Arab Emirates,Al Murar al Qadīm,25.27576,55.30738,19831,Abu Dhabi
AS,AE,United Arab Emirates,Al Warqaa,25.19272,55.42013,59111,Abu Dhabi
AS,AE,United Arab Emirates,International City,25.16383,55.40987,120000,Abu Dhabi
AS,AE,United Arab Emirates,Dubai Marina,25.08525,55.14646,120000,Abu Dhabi
AS,AE,United Arab Emirates,Dubai Internet City,25.09538,55.16171,24000,Abu Dhabi
AS,AE,United Arab Emirates,Al Safa,25.17047,55.23336,15672,Abu Dhabi
AS,AE,United Arab Emirates,Ar Rumaylah,25.40338,55.4334,86000,Abu Dhabi
AS,AE,United Arab Emirates,Al Jurf,25.41814,55.50791,18000,Abu Dhabi
AS,AE,United Arab Emirates,Al Majaz,25.32354,55.38774,116503,Abu Dhabi
AS,AE,United Arab Emirates,Dubai Festival City,25.22177,55.35733,77000,Abu Dhabi
AS,AE,United Arab Emirates,Dubai International Financial Centre,25.2106,55.27787,36000,Abu Dhabi
AS,AE,United Arab Emirates,Dubai Investments Park,25.00827,55.15682,160000,Abu Dhabi
AS,AE,United Arab Emirates,Jebel Ali,25.00255,55.10811,210000,Abu Dhabi
AS,AE,United Arab Emirates,Bani Yas City,24.30978,54.62944,80498,Abu Dhabi
AS,AE,United Arab Emirates,Musaffah,24.35893,54.48267,243341,Abu Dhabi
AS,AE,United Arab Emirates,Al Shamkhah City,24.39268,54.70779,61710,Abu Dhabi
AS,AE,United Arab Emirates,Reef Al Fujairah City,25.14479,56.24764,82310,Abu Dhabi
AS,AE,United Arab Emirates,Al Bada'a,25.22462,55.26888,18816,Abu Dhabi
AS,AE,United Arab Emirates,Al Muteena,25.27375,55.32265,48739,Abu Dhabi
AS,AE,United Arab Emirates,Al Mizhar First,25.24805,55.44128,17498,Abu Dhabi
AS,AE,United Arab Emirates,Dubai Silicon Oasis,25.11985,55.38718,90000,Abu Dhabi
AS,AE,United Arab Emirates,Al Furjan,25.02651,55.14565,26000,Abu Dhabi
AS,AE,United Arab Emirates,Business Bay,25.18544,55.26969,191000,Abu Dhabi
AS,AE,United Arab Emirates,Al Qusais 1,25.27925,55.36995,48378,Abu Dhabi
AS,AE,United Arab Emirates,Halwan,25.34586,55.42165,19389,Abu Dhabi
AS,AE,United Arab Emirates,Al Sajaah,25.31532,55.63211,53079,Abu Dhabi
AS,AE,United Arab Emirates,Lahbab,25.03763,55.59135,53079,Abu Dhabi
AS,AE,United Arab Emirates,Mohammed Bin Zayed City,24.34794,54.55368,85000,Abu Dhabi
AS,AF,Afghanistan,Zaranj,30.95962,61.86037,49851,Kabul
AS,AF,Afghanistan,Bāzār-e Yakāwlang,34.73525,66.97379,65000,Kabul
AS,AF,Afghanistan,Taloqan,36.73605,69.53451,64256,Kabul
AS,AF,Afghanistan,Shīnḏanḏ,33.30294,62.1474,29264,Kabul
AS,AF,Afghanistan,Shibirghān,36.66757,65.7529,55641,Kabul
AS,AF,Afghanistan,Shahrak,34.10737,64.3052,15967,Kabul
AS,AF,Afghanistan,Sar-e Pul,36.21544,65.93249,52121,Kabul
AS,AF,Afghanistan,Sang-e Chārak,35.84972,66.43694,15377,Kabul
AS,AF,Afghanistan,Aībak,36.26468,68.01551,47823,Kabul
AS,AF,Afghanistan,Rustāq,37.12604,69.83045,25636,Kabul
AS,AF,Afghanistan,Qarqīn,37.41853,66.04358,15018,Kabul
AS,AF,Afghanistan,Qarāwul,37.21959,68.7802,24544,Kabul
AS,AF,Afghanistan,Pul-e Khumrī,35.94458,68.71512,56369,Kabul
AS,AF,Afghanistan,Paghmān,34.58787,68.95091,49157,Kabul
AS,AF,Afghanistan,Nīlī,33.72178,66.13023,30058,Kabul
AS,AF,Afghanistan,Nahrīn,36.0649,69.13343,22363,Kabul
AS,AF,Afghanistan,Maymana,35.92139,64.78361,75900,Kabul
AS,AF,Afghanistan,Mehtar Lām,34.67139,70.20944,17345,Kabul
AS,AF,Afghanistan,Mazār-e Sharīf,36.70904,67.11087,523300,Kabul
AS,AF,Afghanistan,Lashkar Gāh,31.59382,64.37161,43934,Kabul
AS,AF,Afghanistan,Kushk,33.29565,61.95221,16952,Kabul
AS,AF,Afghanistan,Kunduz,36.72895,68.857,161902,Kabul
AS,AF,Afghanistan,Khōst,33.33951,69.92041,96123,Kabul
